"VIV_SEL","HOGAR","N_REN","P3_2","P3_3","P3_5","P4_1","P4_5","P4_8_1","P4_8_2","P4_8_3","P4_8_4","P4_9_1","P4_9_2","P4_9_3","P5_1_1","P5_1_2","P5_1_3","P5_1_4","P5_1_5","P5_1_6","P6_1_1","P6_1_2","P6_1_3","P6_1_4","P6_1_5","P7_1_1","P7_1_2","P8_1","P9_1","P10_1","P11_1_1","P11_1_2","P11_1_3","P11_2_1","P11_2_2","P11_2_3","P11_2_4","P12_1","P13_1","TLOC","REGION","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FAC_PER","GRA","NIV","P3_1","P3_12","P4_4_1","P4_4_2","P4_4_3","P4_4_4","P4_4_5","P4_4_6","P4_4_7","P4_7","P5_29","P5_3","P5_4","P6_18","P6_3","P10_13","P10_8","P11_2_9","P12_2","P12_3","P12_4","P13_2_1","P13_2_2","P13_2_3","P13_2_4","P7_1_3","P7_1_4","P7_1_5","P7_1_6","P7_1_7","P9_9_1","P9_9_2","P9_9_3","P9_9_4","P9_9_5"
3,1,3,5,2,8,2,2,3,1,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,1,1,1,3,1,30,4,14,100483,2564,4,8,3,1,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,0,2,1,3,2,2,2,2,9,1,1,9,9,2,2,2,2,2
4,1,1,5,0,8,2,2,1,1,2,2,1,9,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,0,0,0,0,1,2,1,3,2,26,4,14,100483,2838,3,7,2,1,1,2,2,2,2,2,2,2,2,1,2,3,2,1,2,1,2,2,9,2,2,2,2,1,1,1,1,9,9,9,9,1,2
5,1,1,5,0,1,1,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,0,0,0,1,1,1,3,1,69,4,14,100483,3206,3,7,1,1,2,2,2,1,2,2,2,2,1,1,2,3,2,2,2,1,2,1,3,2,2,2,2,9,1,1,1,1,1,2,2,2,2
1,1,3,6,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,0,0,0,1,2,1,3,1,23,5,15,100502,5430,5,8,3,1,1,1,1,1,1,2,2,2,1,1,1,3,2,1,1,0,2,1,3,2,1,2,2,9,9,1,1,1,2,1,1,2,2
3,1,2,6,0,1,2,2,2,8,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,1,9,2,2,2,2,0,0,0,0,1,2,1,3,1,23,5,15,100502,4073,5,8,3,1,1,2,1,1,1,2,2,1,2,2,1,3,2,1,1,1,2,2,3,2,2,2,2,9,9,9,9,9,1,1,1,2,2
4,1,2,5,3,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,0,1,0,0,1,2,1,3,2,44,5,15,100502,2581,5,8,2,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,1,0,2,2,3,1,1,2,2,9,3,1,1,9,2,1,2,2,2
5,1,1,5,1,8,2,1,1,1,2,3,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,0,1,0,0,1,2,1,3,1,67,5,15,100502,2626,4,8,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,0,3,3,3,1,1,2,2,9,1,1,1,9,2,2,2,1,2
2,1,2,5,0,1,2,1,1,2,3,3,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,1,0,0,1,2,1,3,2,54,5,16,100504,5242,6,2,2,1,2,2,1,1,2,1,2,2,1,1,2,3,2,1,2,0,3,3,3,2,1,2,2,1,1,1,1,9,2,2,2,1,2
3,1,1,5,0,1,2,1,1,1,1,3,1,9,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,0,0,0,1,1,1,1,3,2,53,5,16,100504,5242,4,8,2,1,2,2,1,2,2,2,2,2,2,1,1,3,2,2,1,0,2,2,3,1,1,2,2,9,1,1,1,9,2,2,2,1,2
4,1,1,5,4,1,1,1,1,1,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,0,1,1,0,1,2,1,3,1,37,5,16,100504,2925,2,9,1,1,1,2,1,1,1,1,2,2,2,1,1,3,1,1,1,0,2,1,3,2,1,2,2,1,1,1,1,9,2,1,2,2,2
1,1,1,3,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,0,1,0,0,1,1,1,3,2,40,4,17,100565,1051,3,6,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,0,1,1,3,1,2,2,2,9,1,1,1,1,2,1,2,1,2
2,1,1,5,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,0,0,0,1,2,1,3,1,47,4,17,100565,4509,3,3,1,1,1,2,1,1,2,2,2,2,1,2,1,3,2,1,1,0,2,1,3,1,1,2,2,9,1,1,1,9,1,1,2,1,2
3,1,3,6,0,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,0,0,1,0,1,2,1,3,2,23,4,17,100565,4256,2,8,3,1,1,1,1,1,2,1,2,2,1,1,2,3,2,2,1,0,2,2,3,2,2,2,2,9,9,1,1,1,1,1,1,2,2
4,1,1,5,6,1,1,1,2,1,3,3,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,0,0,1,0,1,2,1,3,1,59,4,17,100565,5211,3,6,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,0,1,1,3,1,1,1,2,9,9,1,1,9,2,1,2,2,2
5,1,1,2,0,8,2,1,1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,0,0,0,0,1,1,1,3,2,50,4,17,100565,2298,6,2,1,1,2,2,2,1,2,2,2,2,2,1,2,3,2,1,2,1,2,2,3,2,2,2,2,1,9,1,1,1,2,2,2,1,2
1,1,1,6,0,4,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,9,2,2,2,2,0,0,0,0,1,1,1,3,2,23,4,18,100601,1372,4,8,1,1,2,2,2,1,2,2,2,2,1,1,1,3,1,2,1,1,1,1,1,2,2,2,2,1,9,9,9,1,2,1,1,2,2
2,1,2,5,0,6,1,1,1,1,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,0,0,1,0,1,2,1,3,2,65,4,18,100601,1424,4,5,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,0,2,1,3,2,2,2,2,9,1,1,1,9,2,1,2,2,2
3,1,1,5,0,8,2,2,1,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,9,2,1,0,0,0,1,1,1,3,2,67,4,18,100601,1424,6,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,0,2,1,3,2,2,2,2,9,9,1,9,1,1,1,2,2,2
4,1,2,5,0,1,2,1,1,1,2,3,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,0,0,1,0,1,2,1,3,2,47,4,18,100601,2032,3,3,2,1,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,0,2,2,3,1,2,2,2,1,1,1,1,1,1,1,1,1,2
5,1,1,5,1,6,2,2,1,1,1,3,1,2,8,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,0,0,0,1,1,1,3,1,70,4,18,100601,2067,3,2,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,1,1,0,2,2,3,1,1,2,2,9,1,1,1,1,2,1,2,2,2
